#{"t_start": 1595252445.9527411, "env_id": "NovelGridworld-v0"}
r,l,t
47,4,114.086233
44,7,114.147198
34,17,114.30011
45,6,114.347084
41,10,114.42404
42,9,114.493999
40,11,114.579949
37,14,114.694884
38,13,114.796824
40,11,114.882775
46,5,114.921752
44,7,114.971723
49,2,114.988714
47,4,115.023693
42,9,115.089656
37,14,115.182604
32,19,115.32352
45,6,115.385486
47,4,115.426461
29,22,115.601361
37,14,115.708299
50,1,115.716294
47,4,115.744278
48,3,115.765267
47,4,115.79225
46,5,115.829229
48,3,115.850218
37,14,115.939165
36,15,116.047103
46,5,116.084082
31,20,116.233997
33,18,116.362922
12,39,116.631766
50,1,116.638765
44,7,116.690733
50,1,116.698727
49,2,116.714719
50,1,116.722715
46,5,116.758694
40,11,116.83165
50,1,116.839647
44,7,116.887619
47,4,116.914604
46,5,116.951583
18,33,117.174468
48,3,117.200439
50,1,117.208435
45,6,117.252408
45,6,117.293387
48,3,117.313375
41,10,117.385333
46,5,117.418313
50,1,117.426309
47,4,117.454293
40,11,117.527252
47,4,117.552235
48,3,117.572223
49,2,117.585218
44,7,117.632189
32,19,117.761116
48,3,117.781104
36,15,117.879048
48,3,117.899035
47,4,117.925021
49,2,117.940012
22,29,118.15289
38,13,118.261827
46,5,118.301803
44,7,118.36277
46,5,118.399747
46,5,118.442722
46,5,118.487696
47,4,118.522678
39,12,118.613624
23,28,118.819505
33,18,118.976414
13,38,119.249259
43,8,119.303227
38,13,119.390177
49,2,119.404169
46,5,119.43615
31,20,119.578068
40,11,119.734978
37,14,119.862904
48,3,119.888889
46,5,119.929866
44,7,119.994828
42,9,120.074782
49,2,120.092771
50,1,120.103765
49,2,120.121754
49,2,120.138745
47,4,120.172725
45,6,120.223696
45,6,120.274667
44,7,120.328635
40,11,120.40659
46,5,120.441572
31,20,120.578491
39,12,120.662443
29,22,120.820351
41,10,120.89131
41,10,120.964269
50,1,120.972264
27,24,121.155159
37,14,121.272093
46,5,121.327059
50,1,121.339053
43,8,121.41201
37,14,121.537939
48,3,121.558926
48,3,121.577918
35,16,121.690851
45,6,121.748816
43,8,121.815778
20,31,122.108611
43,8,122.202555
46,5,122.264521
48,3,122.300499
43,8,122.392449
49,2,122.409435
46,5,122.452411
48,3,122.477396
45,6,122.522371
48,3,122.544359
47,4,122.583335
46,5,122.62631
28,23,122.804209
46,5,122.849182
30,21,123.007091
46,5,123.045069
37,14,123.15101
48,3,123.171996
36,15,123.296924
24,27,123.490812
36,15,123.604746
47,4,123.634729
48,3,123.655717
42,9,123.727676
45,6,123.774648
47,4,123.804631
44,7,123.859599
14,37,124.143436
42,9,124.209399
43,8,124.27736
50,1,124.288353
49,2,124.307342
41,10,124.386297
48,3,124.411282
43,8,124.471247
45,6,124.513222
50,1,124.522218
2,49,124.887009
50,1,124.896002
48,3,124.91699
49,2,124.930982
50,1,124.937979
41,10,125.012936
47,4,125.043917
42,9,125.109879
47,4,125.138862
47,4,125.169845
39,12,125.265789
37,14,125.371729
41,10,125.446685
43,8,125.506651
46,5,125.54363
48,3,125.565616
47,4,125.595598
47,4,125.627582
44,7,125.68055
42,9,125.752509
49,2,125.766502
47,4,125.795484
47,4,125.825466
41,10,125.894428
31,20,126.04534
-11,62,126.504076
48,3,126.525065
47,4,126.556047
27,24,126.736942
46,5,126.775921
44,7,126.827891
46,5,126.865867
46,5,126.904847
50,1,126.912841
38,13,127.007786
47,4,127.037768
50,1,127.044763
48,3,127.068751
48,3,127.092737
48,3,127.115722
47,4,127.146705
41,10,127.216664
49,2,127.231656
50,1,127.239651
47,4,127.271634
23,28,127.479513
46,5,127.514493
47,4,127.546475
23,28,127.759351
44,7,127.812321
45,6,127.856296
48,3,127.882281
48,3,127.905268
50,1,127.913265
43,8,127.97223
44,7,128.031195
43,8,128.094158
35,16,128.207094
44,7,128.261065
50,1,128.269058
45,6,128.316032
33,18,128.448954
36,15,128.563887
46,5,128.606863
49,2,128.624853
47,4,128.658835
49,2,128.675824
33,18,128.806749
46,5,128.844726
46,5,128.880705
42,9,128.945668
49,2,128.96166
46,5,129.001638
41,10,129.075593
47,4,129.105576
46,5,129.141555
41,10,129.214513
50,1,129.223507
50,1,129.233505
47,4,129.264484
42,9,129.332444
16,35,129.593295
50,1,129.603288
47,4,129.634271
44,7,129.688239
49,2,129.70423
50,1,129.712227
34,17,129.847149
-2,53,130.237923
47,4,130.269904
49,2,130.288894
44,7,130.342863
48,3,130.368847
39,12,130.457796
50,1,130.466791
48,3,130.491777
28,23,130.667675
49,2,130.684666
41,10,130.767619
50,1,130.777614
43,8,130.841577
13,38,131.160391
42,9,131.239347
-65,116,132.22578
49,2,132.240769
35,16,132.349706
50,1,132.356702
18,33,132.579573
47,4,132.615552
45,6,132.664524
42,9,132.72349
43,8,132.780457
48,3,132.802445
48,3,132.820435
50,1,132.82843
49,2,132.842421
47,4,132.868408
44,7,132.91638
45,6,132.960353
50,1,132.969347
38,13,133.066293
46,5,133.101272
47,4,133.138251
45,6,133.185225
41,10,133.256182
34,17,133.377114
49,2,133.391106
50,1,133.4001
43,8,133.456069
45,6,133.498045
49,2,133.511036
47,4,133.537021
49,2,133.551013
43,8,133.611979
44,7,133.668946
48,3,133.691933
49,2,133.704925
50,1,133.71192
35,16,133.822857
49,2,133.837847
47,4,133.863832
43,8,133.9198
49,2,133.933793
47,4,133.963776
34,17,134.088703
47,4,134.115688
47,4,134.143672
46,5,134.177654
40,11,134.248612
43,8,134.307578
46,5,134.341557
48,3,134.365545
49,2,134.384533
48,3,134.414516
48,3,134.448498
42,9,134.536445
45,6,134.59741
48,3,134.624394
35,16,134.762316
46,5,134.802292
46,5,134.841269
46,5,134.883246
47,4,134.914227
47,4,134.942212
45,6,134.986186
-5,56,135.403945
46,5,135.436928
37,14,135.527873
32,19,135.649803
45,6,135.69278
26,25,135.869676
43,8,135.929645
47,4,135.961628
50,1,135.970619
45,6,136.014593
35,16,136.128529
49,2,136.14252
42,9,136.21048
49,2,136.224472
39,12,136.308425
45,6,136.3504
50,1,136.359395
38,13,136.445344
47,4,136.473328
49,2,136.490319
45,6,136.530295
46,5,136.571277
42,9,136.659224
47,4,136.700199
44,7,136.772156
48,3,136.795144
41,10,136.860107
46,5,136.892088
44,7,136.939061
46,5,136.973041
41,10,137.037003
43,8,137.090975
45,6,137.128953
47,4,137.155937
47,4,137.18192
46,5,137.218899
28,23,137.370811
40,11,137.493742
47,4,137.539714
49,2,137.560702
40,11,137.646652
26,25,137.817553
42,9,137.873521
47,4,137.900505
45,6,137.940483
40,11,138.017439
24,27,138.241315
46,5,138.285284
43,8,138.347249
44,7,138.397219
46,5,138.4322
39,12,138.512154
39,12,138.593106
47,4,138.623089
43,8,138.682056
44,7,138.735024
40,11,138.843962
50,1,138.853956
32,19,139.01986
42,9,139.084823
50,1,139.093817
48,3,139.114805
40,11,139.184765
48,3,139.203755
34,17,139.320687
48,3,139.339676
50,1,139.347672
47,4,139.373658
49,2,139.388648
40,11,139.458609
50,1,139.465603
43,8,139.519574
50,1,139.526571
48,3,139.546557
48,3,139.566545
48,3,139.587533
39,12,139.671485
40,11,139.749439
12,39,140.009291
40,11,140.084247
49,2,140.100237
46,5,140.135218
48,3,140.154206
37,14,140.25315
38,13,140.385073
49,2,140.408061
46,5,140.465028
47,4,140.505006
34,17,140.634932
44,7,140.679904
48,3,140.70189
47,4,140.728877
22,29,140.943753
43,8,141.01471
47,4,141.047692
48,3,141.071677
39,12,141.169622
39,12,141.250574
47,4,141.287553
29,22,141.448476
48,3,141.471447
42,9,141.531412
48,3,141.551403
42,9,141.619364
40,11,141.69232
48,3,141.716306
35,16,141.83124
50,1,141.838236
48,3,141.86522
40,11,141.943176
50,1,141.951171
45,6,142.001143
43,8,142.059109
43,8,142.113077
49,2,142.128069
47,4,142.156053
50,1,142.164048
45,6,142.206024
36,15,142.313962
49,2,142.331952
48,3,142.356937
42,9,142.437891
23,28,142.640773
49,2,142.654765
11,40,142.938603
41,10,143.040544
-2,53,143.471295
48,3,143.492282
49,2,143.506274
27,24,143.68717
47,4,143.732144
43,8,143.834086
48,3,143.881059
42,9,144.011983
36,15,144.136912
48,3,144.163895
47,4,144.200874
47,4,144.244849
46,5,144.294821
47,4,144.326802
48,3,144.351786
