#{"t_start": 1595250405.177114, "env_id": "NovelGridworld-v0"}
r,l,t
42,9,356.048076
50,1,356.064065
47,4,356.122032
45,6,356.200986
50,1,356.214978
47,4,356.267947
49,2,356.293934
49,2,356.318918
35,16,356.487821
35,16,356.66372
49,2,356.689704
39,12,356.828624
31,20,357.0455
39,12,357.222397
46,5,357.282363
48,3,357.32334
46,5,357.397296
38,13,357.564201
40,11,357.697125
48,3,357.743098
48,3,357.804063
13,38,358.377731
48,3,358.430701
47,4,358.491666
50,1,358.507657
37,14,358.702544
42,9,358.869449
47,4,358.923418
40,11,359.073331
47,4,359.137293
36,15,359.332182
41,10,359.472611
44,7,359.57655
50,1,359.593541
50,1,359.607533
47,4,359.658504
48,3,359.691485
48,3,359.726464
44,7,359.812415
45,6,359.882376
34,17,360.077261
47,4,360.128233
33,18,360.310127
31,20,360.513011
34,17,360.689416
49,2,360.714402
46,5,360.776367
50,1,360.790358
50,1,360.803355
39,12,360.928225
50,1,360.939219
45,6,361.005689
50,1,361.017682
49,2,361.038671
40,11,361.156493
32,19,361.356453
49,2,361.379438
46,5,361.435406
31,20,361.652283
37,14,361.800196
33,18,361.98509
47,4,362.030064
48,3,362.065043
45,6,362.135004
42,9,362.22695
47,4,362.266927
47,4,362.305905
47,4,362.345882
42,9,362.43583
49,2,362.457818
49,2,362.478805
48,3,362.508787
43,8,362.586742
37,14,362.724663
46,5,362.776633
48,3,362.811613
41,10,362.931545
48,3,362.968523
49,2,362.991509
40,11,363.100447
43,8,363.183399
17,34,363.515208
11,40,363.938963
46,5,363.99693
49,2,364.018917
45,6,364.086879
48,3,364.118862
41,10,364.228796
49,2,364.253783
20,31,364.633563
41,10,364.739502
41,10,364.858433
50,1,364.871426
45,6,364.944384
45,6,365.012345
44,7,365.0903
43,8,365.175252
39,12,365.307175
44,7,365.378136
43,8,365.463084
43,8,365.544038
45,6,365.613998
50,1,365.62799
42,9,365.73193
47,4,365.785901
43,8,365.884846
49,2,365.909827
43,8,366.01077
47,4,366.053744
39,12,366.192665
49,2,366.221649
49,2,366.248635
48,3,366.289609
46,5,366.345576
44,7,366.429528
43,8,366.522474
31,20,366.759339
37,14,366.926242
48,3,366.959223
29,22,367.184093
43,8,367.268044
41,10,367.369987
39,12,367.502909
43,8,367.584861
48,3,367.614844
48,3,367.645826
47,4,367.685803
47,4,367.728781
43,8,367.818727
3,48,368.29845
42,9,368.388399
9,42,368.881114
47,4,368.920092
40,11,369.036028
47,4,369.081998
46,5,369.148961
48,3,369.187938
36,15,369.39382
28,23,369.656668
50,1,369.666662
-5,56,370.257322
-121,172,372.27116
44,7,372.377099
50,1,372.392091
39,12,372.568989
-27,78,373.580407
16,35,373.950192
46,5,374.007161
50,1,374.018154
46,5,374.065127
43,8,374.16107
26,25,374.425919
42,9,374.502874
46,5,374.548848
40,11,374.642793
48,3,374.669778
30,21,374.856669
49,2,374.877657
48,3,374.902643
44,7,374.963609
-15,66,375.554269
-5,56,376.028995
24,27,376.32982
47,4,376.375794
37,14,376.531705
20,31,376.790555
40,11,376.912485
50,1,376.923478
48,3,376.956461
33,18,377.12936
44,7,377.186326
43,8,377.257286
48,3,377.281271
33,18,377.440197
44,7,377.501146
48,3,377.52713
45,6,377.576102
47,4,377.611082
45,6,377.661053
47,4,377.695033
47,4,377.730015
34,17,377.875929
43,8,377.94389
50,1,377.954885
46,5,378.013851
44,7,378.097801
45,6,378.166764
50,1,378.175757
40,11,378.269702
45,6,378.319674
37,14,378.439604
45,6,378.490576
46,5,378.531551
39,12,378.643486
48,3,378.671471
49,2,378.68946
47,4,378.723442
42,9,378.803396
41,10,378.894342
44,7,378.977294
40,11,379.099224
48,3,379.126209
47,4,379.157192
49,2,379.175183
46,5,379.218158
47,4,379.255136
48,3,379.286117
48,3,379.322096
40,11,379.437029
47,4,379.480004
43,8,379.562957
48,3,379.589941
46,5,379.637913
44,7,379.700877
41,10,379.783829
44,7,379.847792
47,4,379.884773
46,5,379.928746
43,8,380.007701
30,21,380.229573
49,2,380.247563
50,1,380.257556
50,1,380.266551
49,2,380.28554
46,5,380.325517
44,7,380.389481
45,6,380.44145
47,4,380.47743
47,4,380.509411
47,4,380.543391
32,19,380.7043
44,7,380.764265
47,4,380.800243
48,3,380.827228
45,6,380.884195
19,32,381.191018
46,5,381.254981
43,8,381.351925
42,9,381.432879
43,8,381.504838
48,3,381.531822
48,3,381.558806
36,15,381.715719
50,1,381.726709
29,22,381.925595
43,8,381.992556
46,5,382.03854
49,2,382.05652
44,7,382.120482
